scenario,scenario_desc,sig_u,sig_v,rho,trt_eff_scenario,N,weights,uv_dist,uv_dist_df
b1,sigu0_sigv0_rho0_homog_weightsT_uvdistnormal,0,0,0,homog,2000,T,normal,
b2,sigu0_sigv0_rho0_het_weightsT_uvdistnormal,0,0,0,het,2000,T,normal,
s1,sigu1_sigv1_rho0_homog_weightsT_uvdistnormal,1,1,0,homog,2000,T,normal,
s2,sigu1_sigv1.25_rho0_homog_weightsT_uvdistnormal,1,1.25,0,homog,2000,T,normal,
s3,sigu1_sigv1.5_rho0_homog_weightsT_uvdistnormal,1,1.5,0,homog,2000,T,normal,
s4,sigu1_sigv1.75_rho0_homog_weightsT_uvdistnormal,1,1.75,0,homog,2000,T,normal,
s5,sigu1_sigv2_rho0_homog_weightsT_uvdistnormal,1,2,0,homog,2000,T,normal,
s6,sigu1_sigv1_rho0_het_weightsT_uvdistnormal,1,1,0,het,2000,T,normal,
s7,sigu1_sigv1.25_rho0_het_weightsT_uvdistnormal,1,1.25,0,het,2000,T,normal,
s8,sigu1_sigv1.5_rho0_het_weightsT_uvdistnormal,1,1.5,0,het,2000,T,normal,
s9,sigu1_sigv1.75_rho0_het_weightsT_uvdistnormal,1,1.75,0,het,2000,T,normal,
s10,sigu1_sigv2_rho0_het_weightsT_uvdistnormal,1,2,0,het,2000,T,normal,
s11,sigu1_sigv1_rho0.4_homog_weightsT_uvdistnormal,1,1,0.4,homog,2000,T,normal,
s12,sigu1_sigv1.25_rho0.4_homog_weightsT_uvdistnormal,1,1.25,0.4,homog,2000,T,normal,
s13,sigu1_sigv1.5_rho0.4_homog_weightsT_uvdistnormal,1,1.5,0.4,homog,2000,T,normal,
s14,sigu1_sigv1.75_rho0.4_homog_weightsT_uvdistnormal,1,1.75,0.4,homog,2000,T,normal,
s15,sigu1_sigv2_rho0.4_homog_weightsT_uvdistnormal,1,2,0.4,homog,2000,T,normal,
s16,sigu1_sigv1_rho0.4_het_weightsT_uvdistnormal,1,1,0.4,het,2000,T,normal,
s17,sigu1_sigv1.25_rho0.4_het_weightsT_uvdistnormal,1,1.25,0.4,het,2000,T,normal,
s18,sigu1_sigv1.5_rho0.4_het_weightsT_uvdistnormal,1,1.5,0.4,het,2000,T,normal,
s19,sigu1_sigv1.75_rho0.4_het_weightsT_uvdistnormal,1,1.75,0.4,het,2000,T,normal,
s20,sigu1_sigv2_rho0.4_het_weightsT_uvdistnormal,1,2,0.4,het,2000,T,normal,
s21,sigu1_sigv1_rho-0.4_homog_weightsT_uvdistnormal,1,1,-0.4,homog,2000,T,normal,
s22,sigu1_sigv1.25_rho-0.4_homog_weightsT_uvdistnormal,1,1.25,-0.4,homog,2000,T,normal,
s23,sigu1_sigv1.5_rho-0.4_homog_weightsT_uvdistnormal,1,1.5,-0.4,homog,2000,T,normal,
s24,sigu1_sigv1.75_rho-0.4_homog_weightsT_uvdistnormal,1,1.75,-0.4,homog,2000,T,normal,
s25,sigu1_sigv2_rho-0.4_homog_weightsT_uvdistnormal,1,2,-0.4,homog,2000,T,normal,
s26,sigu1_sigv1_rho-0.4_het_weightsT_uvdistnormal,1,1,-0.4,het,2000,T,normal,
s27,sigu1_sigv1.25_rho-0.4_het_weightsT_uvdistnormal,1,1.25,-0.4,het,2000,T,normal,
s28,sigu1_sigv1.5_rho-0.4_het_weightsT_uvdistnormal,1,1.5,-0.4,het,2000,T,normal,
s29,sigu1_sigv1.75_rho-0.4_het_weightsT_uvdistnormal,1,1.75,-0.4,het,2000,T,normal,
s30,sigu1_sigv2_rho-0.4_het_weightsT_uvdistnormal,1,2,-0.4,het,2000,T,normal,
s31,sigu1_sigv1_rho0.2_homog_weightsT_uvdistnormal,1,1,0.2,homog,2000,T,normal,
s32,sigu1_sigv1.25_rho0.2_homog_weightsT_uvdistnormal,1,1.25,0.2,homog,2000,T,normal,
s33,sigu1_sigv1.5_rho0.2_homog_weightsT_uvdistnormal,1,1.5,0.2,homog,2000,T,normal,
s34,sigu1_sigv1.75_rho0.2_homog_weightsT_uvdistnormal,1,1.75,0.2,homog,2000,T,normal,
s35,sigu1_sigv2_rho0.2_homog_weightsT_uvdistnormal,1,2,0.2,homog,2000,T,normal,
s36,sigu1_sigv1_rho0.2_het_weightsT_uvdistnormal,1,1,0.2,het,2000,T,normal,
s37,sigu1_sigv1.25_rho0.2_het_weightsT_uvdistnormal,1,1.25,0.2,het,2000,T,normal,
s38,sigu1_sigv1.5_rho0.2_het_weightsT_uvdistnormal,1,1.5,0.2,het,2000,T,normal,
s39,sigu1_sigv1.75_rho0.2_het_weightsT_uvdistnormal,1,1.75,0.2,het,2000,T,normal,
s40,sigu1_sigv2_rho0.2_het_weightsT_uvdistnormal,1,2,0.2,het,2000,T,normal,
s41,sigu1_sigv1_rho-0.2_homog_weightsT_uvdistnormal,1,1,-0.2,homog,2000,T,normal,
s42,sigu1_sigv1.25_rho-0.2_homog_weightsT_uvdistnormal,1,1.25,-0.2,homog,2000,T,normal,
s43,sigu1_sigv1.5_rho-0.2_homog_weightsT_uvdistnormal,1,1.5,-0.2,homog,2000,T,normal,
s44,sigu1_sigv1.75_rho-0.2_homog_weightsT_uvdistnormal,1,1.75,-0.2,homog,2000,T,normal,
s45,sigu1_sigv2_rho-0.2_homog_weightsT_uvdistnormal,1,2,-0.2,homog,2000,T,normal,
s46,sigu1_sigv1_rho-0.2_het_weightsT_uvdistnormal,1,1,-0.2,het,2000,T,normal,
s47,sigu1_sigv1.25_rho-0.2_het_weightsT_uvdistnormal,1,1.25,-0.2,het,2000,T,normal,
s48,sigu1_sigv1.5_rho-0.2_het_weightsT_uvdistnormal,1,1.5,-0.2,het,2000,T,normal,
s49,sigu1_sigv1.75_rho-0.2_het_weightsT_uvdistnormal,1,1.75,-0.2,het,2000,T,normal,
s50,sigu1_sigv2_rho-0.2_het_weightsT_uvdistnormal,1,2,-0.2,het,2000,T,normal,
w1,sigu0_sigv0_rho0_homog_weightsF_uvdistnormal,0,0,0,homog,2000,F,normal,
w2,sigu0_sigv0_rho0_het_weightsF_uvdistnormal,0,0,0,het,2000,F,normal,
w3,sigu1_sigv1.5_rho0_homog_weightsF_uvdistnormal,1,1.5,0,homog,2000,F,normal,
w4,sigu1_sigv1.5_rho0_het_weightsF_uvdistnormal,1,1.5,0,het,2000,F,normal,
t1,sigu1_sigv1_rho0_homog_weightsT_uvdistt,1,1,0,homog,2000,T,t,3
t2,sigu1_sigv1.25_rho0_homog_weightsT_uvdistt,1,1.25,0,homog,2000,T,t,3
t3,sigu1_sigv1.5_rho0_homog_weightsT_uvdistt,1,1.5,0,homog,2000,T,t,3
t4,sigu1_sigv1.75_rho0_homog_weightsT_uvdistt,1,1.75,0,homog,2000,T,t,3
t1,sigu1_sigv1_rho0_het_weightsT_uvdistt,1,1,0,het,2000,T,t,3
t2,sigu1_sigv1.25_rho0_het_weightsT_uvdistt,1,1.25,0,het,2000,T,t,3
t3,sigu1_sigv1.5_rho0_het_weightsT_uvdistt,1,1.5,0,het,2000,T,t,3
t4,sigu1_sigv1.75_rho0_het_weightsT_uvdistt,1,1.75,0,het,2000,T,t,3
